source_frame,target_frame,source_index,target_index,tick,gap,row_max_certainty,row_min_certainty,target_pred_label,target_pred_name,target_pred_confidence,target_self_nll_loss,target_certainty_score,target_uncertainty_score,attention_peak,attention_entropy
frame_000,frame_001,0,1,5,1,False,False,359,"black-footed ferret, ferret, Mustela nigripes",0.23385739431658306,1.4530437753974486,0.5471526384353638,0.45284736156463623,0.021574441416853107,5.42264090425222
frame_000,frame_002,0,2,5,2,False,False,452,"bonnet, poke bonnet",0.21241509519128746,1.5492129225008506,0.5305840373039246,0.46941596269607544,0.02712499511588071,5.390912603216604
frame_000,frame_003,0,3,5,3,False,False,452,"bonnet, poke bonnet",0.42350864493434687,0.8591813520302565,0.6070246696472168,0.3929753303527832,0.03564846172410117,5.260715721680773
frame_000,frame_004,0,4,5,4,False,False,452,"bonnet, poke bonnet",0.2460023511613723,1.4024141855288934,0.5142706632614136,0.4857293367385864,0.044098761681252006,5.332496352488231
frame_000,frame_005,0,5,5,5,False,True,411,apron,0.09575743003612179,2.345937055643495,0.48953211307525635,0.5104678869247437,0.051207594353673044,5.369435967793267
frame_000,frame_006,0,6,5,6,False,False,359,"black-footed ferret, ferret, Mustela nigripes",0.19767809991887428,1.6211153292516887,0.5310007333755493,0.4689992666244507,0.05027035575105515,5.28936004947607
frame_000,frame_007,0,7,5,7,False,False,452,"bonnet, poke bonnet",0.44331995157814924,0.8134635313001954,0.6498110294342041,0.3501889705657959,0.02497117075425921,5.445109811512452
frame_000,frame_008,0,8,5,8,False,False,285,Egyptian cat,0.5191619695251346,0.6555393644931922,0.6891446113586426,0.3108553886413574,0.014523543388182432,5.548681561332456
frame_000,frame_009,0,9,5,9,False,False,452,"bonnet, poke bonnet",0.4715944427477647,0.7516358942141257,0.6695315837860107,0.33046841621398926,0.025790572196936177,5.506184073979192
frame_000,frame_010,0,10,5,10,False,False,359,"black-footed ferret, ferret, Mustela nigripes",0.19242948987383107,1.6480254787232447,0.5576224327087402,0.44237756729125977,0.030538821249851463,5.3717492832935605
frame_000,frame_011,0,11,5,11,False,False,285,Egyptian cat,0.4738782610246267,0.7468048235557543,0.6628512144088745,0.3371487855911255,0.02168045005036076,5.344032536058913
frame_000,frame_012,0,12,5,12,True,False,285,Egyptian cat,0.5649142611741608,0.5710813094851415,0.7071616649627686,0.29283833503723145,0.032332289569802004,5.3563375522857095
frame_000,frame_013,0,13,5,13,False,False,285,Egyptian cat,0.31342014997011164,1.1602106563915155,0.590308666229248,0.40969133377075195,0.030655438019091923,5.3395833987206025
frame_000,frame_014,0,14,5,14,False,False,452,"bonnet, poke bonnet",0.23302859013760355,1.456594128490778,0.5613734722137451,0.4386265277862549,0.023757320232237755,5.337793846760945
frame_000,frame_015,0,15,5,15,False,False,359,"black-footed ferret, ferret, Mustela nigripes",0.24221995725738119,1.41790905135122,0.5859725475311279,0.41402745246887207,0.026559653902072544,5.323625690066436
frame_000,frame_001,0,1,10,1,False,False,179,"Staffordshire bullterrier, Staffordshire bull terrier",0.19341174841447875,1.6429339510939958,0.47941380739212036,0.5205861926078796,0.08219620675785441,4.659408569549269
frame_000,frame_002,0,2,10,2,False,True,86,partridge,0.07924246388130926,2.535242963726696,0.4395156502723694,0.5604843497276306,0.05137800943854522,4.937320566153842
frame_000,frame_003,0,3,10,3,False,False,86,partridge,0.6505952907097935,0.4298675033493575,0.7204797267913818,0.27952027320861816,0.057734227913942754,4.848450353855393
