source_frame,target_frame,source_index,target_index,tick,gap,row_max_certainty,row_min_certainty,target_pred_label,target_pred_name,target_pred_confidence,target_self_nll_loss,target_certainty_score,target_uncertainty_score,attention_peak,attention_entropy,subject_area_fraction,subject_attention_mass,subject_lift
frame_000,frame_001,0,1,5,1,False,False,645,maypole,0.19465546507508388,1.6365241289001626,0.5862255692481995,0.41377443075180054,0.02150582720005379,5.551275389095361,0.05603448275862069,0.21512576331806943,3.8391674684455466
frame_000,frame_002,0,2,5,2,False,False,645,maypole,0.18193145067651273,1.704125307488293,0.5390816330909729,0.4609183669090271,0.02063334194090866,5.581343022282541,0.0625,0.18169213829717276,2.907074212754764
frame_000,frame_003,0,3,5,3,False,True,645,maypole,0.16725045456688134,1.788262862088815,0.4997120499610901,0.5002879500389099,0.029511673348908727,5.548847298971252,0.07327586206896551,0.2544272118243838,3.4721831260739444
frame_000,frame_004,0,4,5,4,False,False,842,"swimming trunks, bathing trunks",0.2163264329221833,1.530966748578841,0.586169958114624,0.413830041885376,0.027929651844277818,5.567794279328181,0.0668103448275862,0.19092421228265036,2.8577043386822507
frame_000,frame_005,0,5,5,5,False,False,870,"tricycle, trike, velocipede",0.4070370993612281,0.8988509444720538,0.5990153551101685,0.40098464488983154,0.018357709183080592,5.581642447080811,0.07758620689655173,0.24154422525561317,3.1132366810723475
frame_000,frame_006,0,6,5,6,False,False,870,"tricycle, trike, velocipede",0.5471635570251598,0.6030075138953368,0.7054459452629089,0.29455405473709106,0.019916948219975278,5.4833740452433055,0.05818965517241379,0.18561188587092106,3.1897746312632362
frame_000,frame_007,0,7,5,7,False,False,870,"tricycle, trike, velocipede",0.5370815378621985,0.6216053564053263,0.7334939241409302,0.2665060758590698,0.04325737401886838,5.459793568999766,0.05603448275862069,0.2623023840714675,4.681088700352343
frame_000,frame_008,0,8,5,8,False,False,870,"tricycle, trike, velocipede",0.49909933750258223,0.6949501298915814,0.6890949606895447,0.3109050393104553,0.032836072122941436,5.565114594932533,0.04525862068965517,0.16296877537142698,3.6008338939210534
frame_000,frame_009,0,9,5,9,False,False,870,"tricycle, trike, velocipede",0.44540787227058715,0.8087648497066509,0.6990254521369934,0.3009745478630066,0.022736436012254644,5.537419002827093,0.0668103448275862,0.24806325242480634,3.712946745971295
frame_000,frame_010,0,10,5,10,False,False,842,"swimming trunks, bathing trunks",0.38821432027885744,0.9461977200073144,0.62795090675354,0.37204909324645996,0.01991245162728958,5.474777273537793,0.0603448275862069,0.24766357080016727,4.104139173259915
frame_000,frame_011,0,11,5,11,False,False,870,"tricycle, trike, velocipede",0.44925818036809284,0.8001575445402476,0.6564124822616577,0.3435875177383423,0.026693968310544252,5.426826363746973,0.07327586206896551,0.2615658468595836,3.569604498319024
frame_000,frame_012,0,12,5,12,True,False,870,"tricycle, trike, velocipede",0.6231176410239027,0.4730199481268995,0.7458271980285645,0.25417280197143555,0.021777333667631647,5.460048949407858,0.06465517241379311,0.25598601828889606,3.9592504162015922
